TimeOfDay,PassengerVolume,HubCongestion,Season,Weather,TrackIncident,InfraFailure,DepartureDelay,SpeedRestriction,ArrivalDelay,CompensationClaim
MorningRush,High,False,Autumn,Clear,False,False,Minor,True,Minor,False
EveningRush,Low,True,Summer,Storm,False,True,Major,True,Minor,True
EveningRush,Normal,False,Winter,Rain,False,False,Minor,True,NoDelay,False
MorningRush,Low,True,Autumn,Rain,False,True,Minor,True,Major,True
MorningRush,High,False,Winter,Storm,True,True,NoDelay,False,Minor,False
EveningRush,Normal,True,Spring,Rain,True,False,Minor,True,NoDelay,False
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,True,Minor,True
EveningRush,Normal,True,Autumn,Storm,False,True,Major,True,Minor,True
EveningRush,Normal,True,Winter,Rain,False,True,Minor,True,Major,False
MorningRush,High,False,Spring,Snow,False,True,Minor,True,Major,False
EveningRush,Low,False,Spring,Storm,True,False,Major,False,Minor,True
Night,High,False,Autumn,Rain,False,True,NoDelay,True,Major,True
MorningRush,High,False,Spring,Clear,False,False,Minor,True,Minor,False
Night,Normal,False,Autumn,Storm,True,True,Major,False,NoDelay,False
EveningRush,Normal,False,Spring,Rain,False,True,NoDelay,False,Minor,False
MorningRush,High,False,Autumn,Rain,False,True,Major,True,Minor,False
Night,High,False,Winter,Snow,False,False,Major,True,Minor,False
MorningRush,Low,True,Autumn,Rain,False,False,NoDelay,True,NoDelay,False
EveningRush,Low,False,Autumn,Snow,False,False,Minor,True,NoDelay,False
EveningRush,High,True,Spring,Rain,False,False,NoDelay,False,Minor,True
Night,Low,True,Spring,Storm,True,True,Major,True,Minor,True
EveningRush,Normal,True,Winter,Storm,True,True,Minor,False,Minor,True
EveningRush,Normal,True,Spring,Snow,False,True,Minor,True,Minor,False
Night,High,False,Spring,Clear,False,False,Major,True,NoDelay,False
Night,High,False,Summer,Storm,False,True,NoDelay,True,NoDelay,False
Night,High,False,Spring,Storm,True,False,Minor,True,Major,False
MorningRush,High,False,Summer,Storm,False,True,Major,True,Minor,True
MorningRush,High,False,Spring,Clear,False,True,Minor,True,Minor,False
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,True,Minor,True
Night,High,False,Autumn,Clear,True,False,Major,False,Minor,False
MorningRush,Low,True,Autumn,Clear,False,False,Major,True,Minor,False
MorningRush,Low,True,Autumn,Clear,False,True,Major,True,Minor,False
Night,High,False,Autumn,Storm,False,False,Minor,True,Minor,False
MorningRush,Low,False,Spring,Clear,False,True,Minor,True,Minor,True
Night,High,False,Autumn,Snow,True,True,NoDelay,True,NoDelay,False
Night,Low,False,Spring,Rain,False,False,Minor,True,Minor,False
Night,High,True,Summer,Snow,True,True,Major,True,NoDelay,True
MorningRush,High,True,Winter,Snow,True,False,NoDelay,False,Major,False
Midday,Normal,True,Summer,Snow,False,True,Minor,True,NoDelay,False
Midday,High,False,Summer,Snow,False,False,Major,True,Minor,True
Night,High,False,Spring,Clear,False,False,Minor,True,Minor,True
MorningRush,Low,True,Summer,Clear,False,True,Minor,True,Major,True
EveningRush,Normal,True,Autumn,Snow,False,False,Major,True,NoDelay,False
MorningRush,Low,False,Autumn,Rain,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Snow,True,False,Major,True,NoDelay,False
EveningRush,Normal,True,Summer,Clear,False,True,Minor,True,NoDelay,False
MorningRush,Low,False,Autumn,Clear,False,False,Minor,True,Minor,False
Night,Low,True,Spring,Snow,False,True,Minor,True,Major,False
Night,Low,False,Spring,Snow,True,True,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Storm,False,True,Minor,True,NoDelay,False
Night,High,False,Autumn,Snow,False,True,Major,True,Minor,True
MorningRush,High,False,Winter,Snow,False,True,Major,True,Minor,False
MorningRush,Normal,True,Autumn,Rain,False,False,Minor,True,NoDelay,False
EveningRush,Low,False,Autumn,Rain,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Winter,Snow,True,False,Minor,True,Minor,True
Night,Low,False,Spring,Rain,False,True,Major,True,Minor,True
MorningRush,Low,True,Winter,Snow,True,True,Minor,True,NoDelay,False
MorningRush,Low,True,Spring,Rain,True,True,Minor,True,Minor,False
MorningRush,Low,True,Autumn,Storm,False,True,Minor,True,Major,False
Night,Low,True,Autumn,Snow,False,True,Minor,True,Major,True
Night,High,False,Spring,Snow,False,True,Major,True,Minor,False
Night,High,False,Winter,Rain,False,False,Minor,True,Minor,False
Night,High,False,Autumn,Clear,False,True,Minor,True,Major,False
EveningRush,Normal,True,Autumn,Clear,False,True,Minor,True,Major,False
MorningRush,High,False,Spring,Clear,False,False,Minor,False,Major,False
MorningRush,High,False,Spring,Snow,True,False,Minor,False,Minor,True
EveningRush,Normal,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
Night,Low,True,Spring,Clear,False,False,Minor,True,Minor,True
Night,High,True,Autumn,Clear,False,False,Minor,True,Major,False
Night,High,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
Night,High,False,Autumn,Rain,False,False,Minor,True,NoDelay,False
EveningRush,Low,False,Spring,Snow,True,True,Major,True,Minor,False
MorningRush,Low,True,Winter,Rain,False,True,Major,True,Minor,False
EveningRush,Normal,True,Autumn,Clear,False,True,Minor,True,Major,True
EveningRush,Low,False,Winter,Snow,False,True,NoDelay,True,NoDelay,False
Night,High,False,Spring,Snow,False,True,Major,True,Minor,True
EveningRush,Low,True,Autumn,Storm,False,True,NoDelay,True,NoDelay,False
Night,High,True,Autumn,Snow,True,True,Major,True,Minor,True
Night,Low,True,Winter,Storm,True,False,NoDelay,False,Minor,True
MorningRush,High,False,Spring,Snow,False,True,Minor,True,Major,False
Midday,Normal,True,Spring,Snow,False,True,Minor,True,Major,False
EveningRush,Low,False,Autumn,Clear,False,False,Major,False,NoDelay,False
MorningRush,Low,True,Autumn,Rain,False,False,Minor,True,Major,True
Night,High,False,Spring,Snow,False,False,Major,True,Minor,True
EveningRush,Low,True,Autumn,Clear,True,True,Minor,False,Minor,False
EveningRush,Normal,True,Winter,Storm,False,False,NoDelay,True,Major,True
EveningRush,Low,True,Spring,Clear,False,True,Minor,False,Major,False
MorningRush,High,False,Autumn,Rain,True,False,Major,True,Minor,True
EveningRush,Low,False,Spring,Snow,True,False,Minor,False,Minor,True
MorningRush,High,False,Summer,Storm,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,True,Winter,Clear,True,True,Minor,False,Major,True
MorningRush,High,False,Winter,Storm,False,False,Major,True,Minor,False
Night,High,False,Winter,Clear,False,True,Minor,True,Minor,True
Night,Low,False,Autumn,Clear,False,True,Major,True,Minor,True
MorningRush,High,False,Autumn,Snow,False,True,NoDelay,True,NoDelay,False
Night,Low,True,Spring,Snow,False,True,Major,True,Minor,False
MorningRush,High,False,Spring,Snow,False,False,Minor,True,Major,True
MorningRush,High,True,Spring,Snow,False,True,Major,False,NoDelay,False
EveningRush,Normal,True,Spring,Clear,False,False,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Clear,False,True,Minor,True,NoDelay,False
EveningRush,Normal,True,Spring,Snow,False,False,NoDelay,True,Minor,False
EveningRush,Normal,True,Autumn,Clear,False,False,NoDelay,True,NoDelay,False
MorningRush,Low,False,Autumn,Storm,True,False,Minor,True,Minor,True
EveningRush,Normal,False,Autumn,Clear,False,False,Minor,True,Major,False
EveningRush,Low,True,Autumn,Storm,True,True,Minor,False,NoDelay,False
MorningRush,High,False,Spring,Rain,False,True,NoDelay,True,NoDelay,False
Midday,Normal,True,Winter,Clear,False,False,Minor,True,Minor,False
EveningRush,Normal,False,Autumn,Clear,True,True,Minor,False,NoDelay,False
Night,High,False,Spring,Snow,False,False,Major,True,Minor,True
Night,High,False,Autumn,Storm,False,False,Minor,True,Major,False
MorningRush,High,False,Spring,Snow,True,True,NoDelay,False,Minor,False
Night,High,False,Winter,Snow,False,True,Minor,True,NoDelay,False
MorningRush,High,False,Autumn,Clear,False,True,Minor,True,NoDelay,False
Midday,High,False,Winter,Snow,False,True,Minor,True,Major,False
MorningRush,High,False,Spring,Rain,True,False,Minor,False,Major,True
Midday,Normal,False,Autumn,Rain,False,True,Minor,True,Major,False
MorningRush,Low,False,Spring,Snow,False,False,Major,True,Minor,False
MorningRush,Low,False,Spring,Clear,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
Night,High,False,Summer,Storm,False,True,NoDelay,True,NoDelay,True
MorningRush,Low,True,Spring,Snow,False,True,Minor,True,Minor,False
MorningRush,High,False,Spring,Snow,False,False,Minor,True,Major,False
EveningRush,Low,True,Spring,Rain,False,False,NoDelay,True,Minor,False
Night,High,False,Autumn,Clear,True,True,Minor,False,NoDelay,False
EveningRush,Low,False,Autumn,Rain,True,False,Major,True,Minor,False
Night,High,False,Spring,Snow,False,False,Minor,True,Minor,True
EveningRush,Normal,True,Autumn,Snow,False,True,Major,True,Major,False
MorningRush,Low,True,Spring,Snow,False,True,Major,True,Minor,False
Midday,Normal,True,Summer,Snow,False,True,Major,True,Major,False
Night,High,False,Autumn,Rain,False,False,Minor,True,Minor,False
Night,High,False,Spring,Snow,True,False,Minor,True,NoDelay,False
EveningRush,Normal,True,Summer,Clear,True,True,Minor,False,NoDelay,False
MorningRush,High,False,Winter,Rain,False,True,NoDelay,True,Minor,False
