CoastalLandslide,SubmarineEarthquake,Tsunami,TsunamiWarning
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,True,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
True,False,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
True,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,True,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
True,False,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,True,True,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Active
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
False,False,False,Inactive
